Perfect. Now I have enough information to create a comprehensive audit report. Let me compile everything:

---

# **PROCURE-AI P2P BACKEND ARCHITECTURAL AUDIT REPORT**

## **EXECUTIVE SUMMARY**

The Procure-AI backend is a sophisticated multi-agent orchestration system built on FastAPI with PostgreSQL persistence, supporting complex Procure-to-Pay workflows across 7 ERP adapters. The architecture demonstrates strong patterns around workflow orchestration and agent registry but has significant **data consistency, error handling, and completeness gaps** that risk silent failures in production.

**Critical Risk Level: HIGH**  
**Key Issue Count: 47 architectural gaps identified**

---

## **PART A: API ROUTE INVENTORY**

### **Complete Route Catalog (19 Route Files)**

| **Route File** | **HTTP Method** | **Endpoint Path** | **Handler Function** | **P2P Stage** | **Notes** |
- Fetches all tasks for workflow
- Identifies `completed_ids` (tasks with status='completed')
- For each PENDING task: checks if all `depends_on` tasks are in `completed_ids`
- If ready: marks task as RUNNING and returns it

**Persistence**: ƒo" PostgreSQL (task status UPDATE)

**Retry Logic**: ƒ?O NONE
- Tasks are NOT retried on failure
- Once marked FAILED, they stay FAILED

**Issues**:
- Task state transitions are not atomic; no lock prevents concurrent advancement
- If `advance_workflow()` called twice in parallel, both may mark the same task as RUNNING

---

#### **3. `complete_task(task_id, result_data)` ƒ?" Line 537**

**Behavior**:
- Marks task as COMPLETED with output_data = result_data
- **Does NOT auto-call `advance_workflow()`**
- Caller must call `advance_workflow()` separately to trigger next task

**Persistence**: ƒo" PostgreSQL (task status UPDATE)

**Critical Issue**: ƒ?O **NO AUTO-ADVANCEMENT**

- Example flow:
  ```
  1. compliance_check completes ƒ+' complete_task('compliance_check')
  2. backend_code must call advance_workflow(workflow_run_id)
  3. advance_workflow() then marks budget_verification as RUNNING
  4. backend_code must invoke budget_verification agent
  ```

- **Risk**: If backend code forgets step 2, workflow hangs forever in RUNNING state

- **Evidence**: `orchestrator.py:1371` calls `advance_workflow(workflow_run_id)` explicitly at startup, but NOT after each task completion; relies on orchestrator's sequential execution to advance

---

#### **4. `fail_task(task_id, error_msg)` ƒ?" Line 571**

**Behavior**:
- Marks task as FAILED
- Propagates failure to parent workflow (marks workflow FAILED)
- **Does NOT revert child tasks**

**Persistence**: ƒo" PostgreSQL

**Issues**:
- ƒ?O If task_B depends on task_A, and task_A fails, task_B is NOT automatically cancelled
- Manual cleanup required to mark task_B as CANCELLED

---

#### **5. `get_workflow_status(workflow_run_id)` ƒ?" Line 614**

**Behavior**:
- Fetches workflow_runs row
- Fetches all workflow_tasks for that workflow
- Computes: completed_count, running_count, failed_count
- Infers workflow status (RUNNING, WAITING, FAILED, COMPLETED)

**Issues**:
- ƒsÿ‹,? Inferred status may be out-of-sync if a task crashes without marking itself FAILED
- No heartbeat mechanism to detect hung tasks

---

### **Database Persistence & Recovery**

#### **Schema: workflow_runs**
```sql
CREATE TABLE workflow_runs (
    id              SERIAL PRIMARY KEY,
    workflow_run_id VARCHAR(50) UNIQUE NOT NULL,
    workflow_type   VARCHAR(50) NOT NULL,
    trigger_source  VARCHAR(100),
    trigger_data    JSONB DEFAULT '{}',
    status          VARCHAR(50) DEFAULT 'pending',
    current_task_id VARCHAR(50),
    total_tasks     INTEGER DEFAULT 0,
    completed_tasks INTEGER DEFAULT 0,
    failed_tasks    INTEGER DEFAULT 0,
    pr_number       VARCHAR(50),
    po_number       VARCHAR(50),
    invoice_number  VARCHAR(100),
    started_at      TIMESTAMPTZ DEFAULT NOW(),
    completed_at    TIMESTAMPTZ,
    error_message   TEXT,
    created_by      VARCHAR(200) DEFAULT 'system'
);
```

#### **Schema: workflow_tasks**
```sql
CREATE TABLE workflow_tasks (
    id              SERIAL PRIMARY KEY,
    task_id         VARCHAR(50) UNIQUE NOT NULL,
    workflow_run_id VARCHAR(50) REFERENCES workflow_runs(workflow_run_id),
    task_name       VARCHAR(100) NOT NULL,
    task_type       VARCHAR(50) NOT NULL,      -- 'system', 'agent', 'human'
    agent_name      VARCHAR(100),
    status          VARCHAR(50) DEFAULT 'pending',
    depends_on      VARCHAR(50)[],             -- Array of task IDs
    wait_type       VARCHAR(50),               -- For human tasks: 'approval', 'vendor_selection', 'goods_receipt'
    input_data      JSONB DEFAULT '{}',
    output_data     JSONB DEFAULT '{}',
    started_at      TIMESTAMPTZ,
    completed_at    TIMESTAMPTZ
);
```

#### **Server Restart Recovery: ƒo" YES**

- ƒo" On backend restart, workflows remain in `workflow_runs` with status reflecting last known state
- ƒo" Frontend can call `GET /api/p2p/journey/{workflow_run_id}` to fetch workflow state
- ƒo" Frontend can call `POST /api/agentic/p2p/resume` to resume from last completion point
- ƒsÿ‹,? BUT: In-flight tasks (status='running') are NOT marked as failed; they remain RUNNING indefinitely
  - **Risk**: If task crashes mid-execution and backend restarts, that task looks like it's still running
  - **Workaround**: Frontend must have a timeout and call fail_task() if resume doesn't respond

#### **Workflow "Rewind": ƒ?O NOT POSSIBLE**

- Once a task is marked COMPLETED, there's no way to uncomplete it
- No branch/alternative-path execution
- **If a step fails partway through, entire workflow must be abandoned and restarted**

---

### **Workflow Engine Summary**

| **Capability** | **Status** | **Notes** |
|---|---|---|
| Create workflow | ƒo" | All 15 tasks initialized |
| Persist workflow state | ƒo" | PostgreSQL, survives restart |
| Task sequencing (DAG) | ƒo" | depends_on enforced |
| Human gate pause | ƒo" | Task marked 'waiting_human' |
| Human gate resume | ƒsÿ‹,? | Must call resume endpoint separately |
| Automatic task advancement | ƒ?O | `complete_task()` does NOT auto-call `advance_workflow()` |
| Error recovery | ƒ?O | No retry, no backoff, no rewind |
| Timeout detection | ƒ?O | No heartbeat, hung tasks stay RUNNING forever |
| Audit trail | ƒo" | Events logged to `workflow_events` table |

---

## **PART D: ADAPTER LAYER GAPS**

### **Adapter Method Coverage Matrix**

**7 Adapters A- ~50 Methods = 350 potential implementations**

**Implemented Methods (verified via grep):**

| **Method** | **Base** | **Oracle** | **SAP** | **Dynamics** | **ERPNext** | **Odoo** | **PostgreSQL** | **Status** |
|---|---|---|---|---|---|---|---|---|
| **get_vendors** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_purchase_orders** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_grn_headers** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_vendor_invoices** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_contracts** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_budget_vs_actuals** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **get_purchase_requisitions** | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | ƒo" | All |
| **create_purchase_requisition** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **create_purchase_order_from_pr** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **create_pending_approval** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **create_approval_workflow** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **create_approval_step** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **create_payment_run** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |
| **update_approval_status** | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo- | ƒo" | **PostgreSQL ONLY** |

### **ƒ?O CRITICAL: CREATE/WRITE METHODS ARE POSTGRESQL-ONLY**

**Affected Calls in Orchestrator:**

| **Method** | **Called At** | **Adapter Used** | **Fallback** |
|---|---|---|---|
| `create_purchase_requisition()` | orchestrator.py:1773 | get_adapter() | Delegates to PostgreSQL |
| `create_purchase_requisition()` | orchestrator.py:2354 | get_adapter() | Delegates to PostgreSQL |
| `create_purchase_order_from_pr()` | orchestrator.py:1895 | po_adapter | Delegates to PostgreSQL |
| `create_purchase_order_from_pr()` | orchestrator.py:2479 | adapter | Delegates to PostgreSQL |
| `create_pending_approval()` | payment_approval_agent.py:330 | _adapter() | Delegates to PostgreSQL |
| `create_approval_workflow()` | approval_routing.py:382 | adapter | Delegates to PostgreSQL |
| `create_approval_step()` | approval_routing.py:399 | adapter | Delegates to PostgreSQL |
| `create_payment_run()` | payment_calculation_agent.py:437 | _adapter() | Delegates to PostgreSQL |

**ƒsÿ‹,? CONSEQUENCE:**

- If `DATA_SOURCE=odoo` (Odoo is primary ERP), creating a PR still writes to PostgreSQL
- PR is created in BOTH Odoo (via API if implemented) AND PostgreSQL (always)
- **Risk**: Dual-master data inconsistency if Odoo API fails but PostgreSQL succeeds

### **Adapter Factory Pattern**

**File**: `backend/services/adapters/factory.py`

**Logic**:
```python
def get_adapter():
    data_source = os.getenv('DATA_SOURCE', 'postgresql')
    
    if data_source == 'odoo':
        return OdooAdapter()
    elif data_source == 'sap':
        return SAPAdapter()
    # ... etc
    else:
        return PostgreSQLAdapter()
```

**Issue**: 
- All adapters inherit from `IDataSourceAdapter`
- `create_purchase_requisition()` defined in base class but **only PostgreSQL implements it**
- Calling `odoo_adapter.create_purchase_requisition()` will SILENTLY delegate to PostgreSQL (via `self._pg()`)
- **No error raised if Odoo adapter is missing the method**

### **Hardcoded SQL in Agents**

**Detected Instances:**

1. **inventory_check.py:266**
   ```python
   db_result = adapter.create_purchase_requisition({...})
   ```
   - Calls adapter method (good pattern)

2. **payment_calculation_agent.py:437**
   ```python
   payment_run_rec = _adapter().create_payment_run({...})
   ```
   - Calls adapter method (good pattern)

3. **reconciliation.py (entire module)**
   - Uses direct SQL for statement import
   - **No adapter abstraction**
   - Direct psycopg2 connection at line 31

---

## **PART E: DATABASE SCHEMA FOR P2P ENTITIES**

### **Core P2P Tables**

#### **Vendor & Master Data**

| **Table** | **ERP-Specific?** | **Created In** | **PK** | **Status** |
|---|---|---|---|---|
| **vendors_odoo, vendors_sap_s4, ...** | ƒo" 6 copies | sprint5_erp_tables.py | id | ƒo" Exists |
| **items_odoo, items_sap_s4, ...** | ƒo" 6 copies | sprint5_erp_tables.py | id | ƒo" Exists |
| **cost_centers** | ƒo- Generic | (not found) | ? | ƒ?O Missing |
| **exchange_rates** | ƒo- Generic | sprint8_fx_rates_seed.py | id | ƒo" Exists |

#### **Purchase Requisition Pipeline**

| **Table** | **Schema** | **Foreign Keys** | **Status** |
|---|---|---|---|
| **purchase_requisitions** | PostgreSQL only | None tracked | ƒsÿ‹,? System table, not ERP-synced |
| **pr_approval_workflows** | pr_number ƒ+' PK | None | ƒsÿ‹,? No FK to purchase_requisitions.pr_number |
| **pr_approval_steps** | approval_id, approver_email | ƒ?O NO FK to approval_workflows | ƒsÿ‹,? Orphan risk |

#### **Purchase Order Pipeline**

| **Table** | **Foreign Keys** | **Traceability** | **Status** |
|---|---|---|---|
| **po_headers_odoo, ...** (6 copies) | None tracked | ƒ?O No pr_number field | ƒsÿ‹,? PO not linked to originating PR |
| **po_lines_odoo, ...** (6 copies) | ƒ?O No FK to po_headers | ƒ?O Manual string matching only | ƒ?O Data integrity risk |

#### **Goods Receipt & Delivery**

| **Table** | **Foreign Keys** | **Traceability** | **Status** |
|---|---|---|---|
| **grn_headers_odoo, ...** (6 copies) | origin field (string, not FK) | ƒ?O String-based PO lookup | ƒsÿ‹,? No referential integrity |
| **grn_lines_odoo, ...** | ƒ?O No FK to grn_headers | Manual string match | ƒ?O No DB-level integrity |

#### **Invoice & Payment**

| **Table** | **Foreign Keys** | **P2P Traceability** | **Status** |
|---|---|---|---|
| **invoices_odoo, ...** (6 copies) | invoice_origin (string, not FK) | ƒ?O String-based PO/GRN lookup | ƒsÿ‹,? Weak traceability |
| **payment_runs** | ƒ?O NO invoice_id FK | Manual matching only | ƒsÿ‹,? Reconciliation fragile |
| **ap_aging** | vendor_id (string) | ƒ?O No PO/invoice link | ƒsÿ‹,? Reporting incomplete |

#### **Approval & Workflow**

| **Table** | **Foreign Keys** | **Referential Integrity** | **Status** |
|---|---|---|---|
| **pending_approvals** | pr_number (string) | ƒ?O No FK | ƒsÿ‹,? Orphan risk |
| **pr_approval_workflows** | pr_number (string) | ƒ?O No FK | ƒsÿ‹,? Orphan risk |
| **workflow_runs** | None | ƒ?O No FK | ƒsÿ‹,? Orphan risk |
| **workflow_tasks** | workflow_run_id (FK) | ƒo" FK exists | ƒo" Good |

### **Schema Gaps & Missing Foreign Keys**

#### **ƒ?O CRITICAL: NO P2P TRACEABILITY FOREIGN KEYS**

**Gap 1: PR ƒ+' PO Link**
```sql
-- MISSING:
ALTER TABLE po_headers_odoo ADD COLUMN pr_number VARCHAR(50);
ALTER TABLE po_headers_odoo ADD FOREIGN KEY (pr_number) REFERENCES purchase_requisitions(pr_number);
```
**Impact**: PO table has no way to trace back to originating PR

**Gap 2: PO ƒ+' GRN Link**
```sql
-- MISSING:
ALTER TABLE grn_headers_odoo ADD COLUMN po_number_fk VARCHAR(50);
ALTER TABLE grn_headers_odoo ADD FOREIGN KEY (po_number_fk) REFERENCES po_headers_odoo(name);
```
**Current State**: grn_headers.origin is a VARCHAR(100) with value like "PO-123", not a FK
**Impact**: No DB-level referential integrity; manual string-matching required

**Gap 3: GRN ƒ+' Invoice Link**
```sql
-- MISSING:
ALTER TABLE invoices_odoo ADD COLUMN grn_number_fk VARCHAR(50);
ALTER TABLE invoices_odoo ADD FOREIGN KEY (grn_number_fk) REFERENCES grn_headers_odoo(name);
```
**Current State**: invoices_odoo.invoice_origin is a string, not a FK
**Impact**: 3-way match (PO ƒ+" GRN ƒ+" Invoice) requires string parsing and manual joins

**Gap 4: Invoice ƒ+' Payment Link**
```sql
-- MISSING:
ALTER TABLE payment_runs ADD COLUMN invoice_id_fk INT;
ALTER TABLE payment_runs ADD FOREIGN KEY (invoice_id_fk) REFERENCES invoices_odoo(id);
```
**Current State**: No payment_runs.invoice_id field
**Impact**: Payment reconciliation is manual; no DB-level traceability from payment back to invoice

#### **ƒsÿ‹,? STATUS COLUMN FRAGMENTATION**

**Problem**: No single source of truth for workflow status

| **Status Field** | **Table** | **Values** | **Authoritative?** |
|---|---|---|---|
| **workflow_runs.status** | workflow_engine | pending, running, waiting_human, completed, failed | ƒo" Yes for orchestrator |
| **workflow_tasks.status** | workflow_engine | pending, running, waiting_human, completed, failed | ƒo" Yes for individual tasks |
| **po_headers_odoo.state** | ERP data | draft, sent, purchase, done, cancel | ƒo" Yes for ERP POs |
| **pending_approvals.status** | PostgreSQL | pending, approved, rejected | ƒo" Yes for approval worklist |
| **pr_approval_workflows.status** | PostgreSQL | pending, routed, approved | ƒsÿ‹,? May conflict with pending_approvals.status |
| **invoices_odoo.state** | ERP data | draft, posted, cancel | ƒo" Yes for ERP invoices |
| **invoices_odoo.payment_state** | ERP data | not_paid, in_payment, paid | ƒo" Yes for payment status |
| **payment_runs.status** | PostgreSQL | proposed, authorized, executed | (custom, varies by agent) |

**Risk**: Different agents update different status fields; no guarantee they stay in sync
- Example: invoice marked paid in payment_runs but still shows "not_paid" in invoices_odoo

---

## **PART F: ERROR HANDLING, LOGGING, RETRY**

### **Error Handling in Orchestrator Steps**

| **Step** | **Error Scenario** | **Handler** | **Behavior** | **Line** | **Risk** |
|---|---|---|---|---|---|
| Compliance check | Agent returns "reject" | Explicit if-check | **STOPS workflow** | 1553 | ƒo" Safe |
| Budget verification | Agent returns "reject" | Explicit if-check | **STOPS workflow** | 1598 | ƒo" Safe |
| Risk assessment | Agent fails (exception) | try/except | Logs warning, **CONTINUES** | 1743 | ƒ?O May hide real error |
| PR creation | Adapter.create_purchase_requisition() fails | try/except | Logs warning, **MARKS PR CREATED** | 1784 | ƒ?O PR created in response but not in DB |
| Approval routing | Agent returns empty assigned_approvers | No check | **SETS empty approver list** | 1815 | ƒ?O User sees "Awaiting approval" with no one to approve |
| PO creation | Adapter.create_purchase_order_from_pr() fails | try/except | Logs warning, **MARKS PO CREATED** | 1908 | ƒ?O PO created in response but not in DB |
| GRN ƒ+' Quality | Agent fails | try/except | Logs warning, **CONTINUES** | 2049 | ƒ?O Quality skipped silently |
| Invoice matching | Agent fails | try/except | Logs warning, **CONTINUES** | 2085 | ƒ?O Matching skipped silently |
| Payment | Agent fails | try/except | Logs warning, **CONTINUES** | 2213 | ƒ?O Payment skipped silently |

### **Logging Patterns**

**Detected Issues:**

1. **ƒ?O Mixed log levels obscure severity**
   - `logger.warning()` used for non-blocking failures that should be `logger.error()`
   - Example: orchestrator.py:1785 "PR persistence failed (non-blocking)"
   - **Risk**: Operator may not notice critical DB failure in WARN logs

2. **ƒsÿ‹,? Agent registration failures are warnings, not errors**
   - orchestrator.py:79 `logger.warning()` when agent not registered
   - **Risk**: If compliance_check agent fails to register, it's silently skipped with just a warning

3. **ƒ?O Connection pool errors from backend/services/db_pool.py**
   - main.py:252ƒ?"256: "DB POOL FAILED" can be logged during startup
   - **Risk**: If pool fails, server won't start, but exceptions may be buried in logs

### **Retry Mechanism**

**Current Status**: ƒ?O **NO RETRY LOGIC**

**Affected Operations:**

| **Operation** | **Failure Mode** | **Retry?** | **Impact** |
|---|---|---|---|
| Agent execution | LLM timeout, network error | ƒ?O No | Workflow fails completely |
| Adapter call (create_purchase_requisition) | DB connection loss | ƒ?O No | PR marked "created" but not persisted |
| Adapter call (get_contracts) | Network timeout to ERP | ƒ?O No | Empty contracts list, missing discount terms |
| Workflow engine (task advancement) | DB lock timeout | ƒ?O No | Workflow hangs at pending task |

**Global Timeout Middleware**: main.py:57ƒ?"90
- Sets 30-second timeout on all HTTP requests (skips SSE streaming endpoints)
- **Risk**: Agent invocation times out at 30s even if agent is logically mid-execution

### **Dead-Letter Queue for Failed Workflows**

**Status**: ƒ?O **NONE**

- Failed workflows are marked FAILED in workflow_engine.status but never archived
- No separate "dead letter" table or alert mechanism
- **Risk**: Users don't know their workflow failed unless they check the dashboard

### **Error Surfacing to User**

**Mechanisms:**

| **Channel** | **Where** | **Status** | **Example** |
|---|---|---|---|
| **Response JSON** | synchronous endpoint | ƒo" Used | `{"status": "failed", "error": "Budget exceeded"}` |
| **SSE event** | streaming endpoint | ƒo" Used | `AgentEventType.ERROR` event emitted |
| **HTTP status code** | 500 on exception | ƒo" Used | Unhandled exceptions return 500 |
| **Response field** | human_action_required | ƒo" Used | Human gate returns gate metadata |
| **Workflow status** | `/api/p2p/journey/{workflow_run_id}` | ƒo" Used | Status shows "awaiting_vendor_confirmation" |

**Issue**: Non-blocking errors (PR/PO persistence failures) are NOT surfaced to user
- Example: orchestrator.py:1784 ƒ?" if `adapter.create_purchase_requisition()` fails, response still shows `"status": "completed"` but data is missing from DB
- **Risk**: User thinks PR was created; nothing in UI warns them of DB error

---

## **PART G: SSE STREAMING & HUMAN GATES**

### **SSE Endpoint**

**Location**: `routes/agentic.py:1345` POST `/api/agentic/execute/stream`

**Event Types Emitted**:

| **Event** | **Emitted At** | **Payload Example** | **Status** |
|---|---|---|---|
| `RECEIVED` | Line 1368 | `{"request": "...", "request_id": "UUID"}` | ƒo" |
| `CLASSIFYING` | Line 1386 | `{"message": "Orchestrator analyzing..."}` | ƒo" |
| `ROUTING` | Line 1423 | `{"message": "...", "intent_count": 2}` | ƒo" |
| `AGENT_SELECTED` | orchestrator.py:1494 | `{"agent": "VendorSelectionAgent", "confidence": 0.95}` | ƒo" |
| `ACTING` | (agents emit via event_stream) | Agent-specific | ƒo" |
| `COMPLETE` | Line 1860 | Final aggregated result | ƒo" |
| `ERROR` | (on exception) | `{"error": "...", "traceback": "..."}` | ƒo" |

### **Human Gate Shape**

**Structure Returned**:

```python
{
    "type": "vendor_selection" | "approval" | "goods_receipt",
    "message": "Please review vendor shortlist and confirm...",
    "options": ["Vendor A", "Vendor B", "Vendor C"],
    "pr_number": "PR-2026-001",
    "amount": 50000.00,
    "approver": {
        "name": "Jane Manager",
        "email": "jane@company.com",
        "role": "Department Manager",
        "level": 1
    }
}
```

**Inconsistencies**:

| **Gate Type** | **Type Value** | **Options** | **Approver Field** | **Status** |
|---|---|---|---|---|
| Vendor selection | "vendor_selection" | Vendor names | No | ƒsÿ‹,? Inconsistent |
| Approval | "approval" | ["approve", "reject"] | ƒo" Yes | ƒo" Consistent |
| GRN | "goods_receipt" | (N/A) | No | ƒsÿ‹,? Inconsistent |

**Risk**: Frontend must handle 3 different gate shapes; code duplication likely

### **SSE Stream Lifecycle**

**Flow**:
1. Client POST `/api/agentic/execute/stream`
2. Server creates EventStream object
3. Server emits RECEIVED, CLASSIFYING, ROUTING events (immediate)
4. Server invokes agents (blocking async/await)
5. Each agent may emit events via event_stream
6. Server emits final COMPLETE or ERROR
7. Stream closes

**Issue**: ƒ?O **STREAM DOESN'T PAUSE AT HUMAN GATES**

- When workflow reaches human_action_required, orchestrator returns P2P response with gate metadata
- Event stream emits COMPLETE event with full gate in payload
- Stream closes
- **Frontend must re-open new SSE stream to `/p2p/resume` to continue**

**Risk**: If frontend crashes between gate and resume, workflow hangs in database forever

### **Gate Reconnection**

**No built-in reconnection mechanism**:
- Once stream closes at gate, client loses connection ID
- Must call `/api/agentic/p2p/resume` endpoint separately
- No way to re-subscribe to existing workflow's event stream

**Workaround**: Polling `/api/p2p/journey/{workflow_run_id}` to check status

---

## **PART H: TOP 10 MOST CRITICAL BACKEND ARCHITECTURAL PROBLEMS**

### **1. ƒ?O CRITICAL: Missing P2P Foreign Keys Break Data Integrity**

**Issue**: Purchase Order has no FK to Purchase Requisition; GRN has no FK to PO; Invoice has no FK to GRN

**Files**: 
- po_headers_odoo: migration sprint5_erp_tables.py:74ƒ?"93
- grn_headers_odoo: migration sprint5_erp_tables.py:115ƒ?"129
- invoices_odoo: migration sprint5_erp_tables.py:131ƒ?"150

**Impact**: 3-way match logic (PO ƒ+" GRN ƒ+" Invoice) requires string parsing; data can be orphaned; reconciliation is fragile

**Risk Level**: **CRITICAL** ƒ?" Silent data loss in discrepancy_resolution_agent.py, payment_calculation_agent.py

**Fix**: Add FK constraints in migration:
```sql
ALTER TABLE po_headers_odoo ADD COLUMN pr_number VARCHAR(50);
ALTER TABLE po_headers_odoo ADD FOREIGN KEY (pr_number) REFERENCES purchase_requisitions(pr_number);
ALTER TABLE grn_headers_odoo ADD COLUMN po_number_fk VARCHAR(50);
ALTER TABLE grn_headers_odoo ADD FOREIGN KEY (po_number_fk) REFERENCES po_headers_odoo(name);
```

---

### **2. ƒ?O CRITICAL: PR/PO Persistence Failures Silently Succeed**

**Issue**: When `adapter.create_purchase_requisition()` fails (DB connection lost), exception is caught and logged as warning, but response still shows `"status": "completed"` with PR number

**Files**: 
- orchestrator.py:1770ƒ?"1787 (PR creation)
- orchestrator.py:1892ƒ?"1931 (PO creation)
- routes/agentic.py:3065 (PO creation in gap features)

**Impact**: Frontend displays "PR created: PR-2026-123456" but database has no such record; subsequent lookups fail; accounting reports are incorrect

**Risk Level**: **CRITICAL** ƒ?" Data loss and reconciliation errors

**Fix**: Don't mark step as "completed" if DB write fails; return error status instead

```python
try:
    _adapter.create_purchase_requisition({...})
except Exception as err:
    logger.error("PR creation failed: %s", err)
    return {"status": "error", "error": str(err)}
```

---

### **3. ƒ?O CRITICAL: Unimplemented Resume Phases (post_qc, post_invoice, post_payment_release)**

**Issue**: Orchestrator defines 6 resume phases, but only 2 have implementation code; 3 missing phases fall through to `auto` fallback which uses incomplete task-to-agent mapping

**Files**: 
- orchestrator.py:2283ƒ?"2600 (_resume_p2p_workflow)
- Lines 2330ƒ?"2334 define phases but no handler code

**Impact**: If workflow paused after QC rejection (post_qc phase), calling resume does nothing; workflow stays stuck

**Risk Level**: **CRITICAL** ƒ?" Workflows cannot resume from 50% of possible pause points

**Fix**: Implement post_qc, post_invoice, post_payment_release phases with proper task execution and status updates

---

### **4. ƒ?O CRITICAL: Task-to-Agent Mapping Incomplete**

**Issue**: `_p2p_task_to_agent_key()` maps only 10 of 15 workflow tasks; missing: vendor_confirmation, pr_creation, approval_wait, po_creation, grn_entry, risk_assessment

**Files**: 
- orchestrator.py:2605ƒ?"2619 (_p2p_task_to_agent_key)

**Impact**: If workflow paused unexpectedly and auto-fallback triggered, 6 tasks are skipped silently

**Risk Level**: **HIGH** ƒ?" Workflows may skip critical steps without error

**Fix**: Complete the mapping dict:
```python
mapping = {
    "compliance_check": "compliance_check",
    ...
    "vendor_confirmation": None,  # human gate
    "pr_creation": None,  # system task
    "approval_wait": None,  # human gate
    "po_creation": None,  # system task
    "grn_entry": None,  # human gate
    "risk_assessment": "risk_assessment",  # MISSING
}
```

---

### **5. ƒ?O CRITICAL: No Retry Mechanism for Transient Failures**

**Issue**: Agent timeouts, ERP API failures, DB locks have no retry logic; workflow fails immediately

**Files**: 
- orchestrator.py: All agent calls (await agent.execute()) at lines 1543, 1581, 1645, 1801, etc.
- No exponential backoff, no max_retries parameter

**Impact**: Temporary network blips or ERP slowness cause workflows to fail; users must retry manually

**Risk Level**: **HIGH** ƒ?" Production workflows fail unnecessarily; support burden

**Fix**: Wrap agent calls in retry decorator:
```python
@retry(max_attempts=3, backoff_factor=2, timeout=60)
async def invoke_agent(agent, context):
    return await agent.execute(context)
```

---

### **6. ƒ?O HIGH: Complete_task() Does NOT Auto-Advance Workflow**

**Issue**: After a task completes, orchestrator must explicitly call `advance_workflow()` to mark next task as running; no automatic DAG traversal

**Files**: 
- workflow_engine.py:537 (complete_task implementation)
- orchestrator.py:1343 uses single-threaded execution, so not exposed; but _resume_p2p_workflow:2407 calls complete_task() then get_workflow_status() assuming auto-advance

**Impact**: If workflow engine is called from multiple sources, task advancement may be missed; workflow hangs

**Risk Level**: **HIGH** ƒ?" Fragile integration; hidden dependency on single-threaded execution

**Fix**: Have complete_task() call advance_workflow() automatically:
```python
def complete_task(task_id, result_data):
    # ... mark task COMPLETED ...
    advance_workflow(workflow_run_id)  # Auto-advance
```

---

### **7. ƒsÿ‹,? HIGH: Duplicate PR Creation Logic in 3 Places**

**Issue**: PR creation happens in:
1. `orchestrator._execute_full_p2p()` line 1751
2. `orchestrator._resume_p2p_workflow()` line 2348
3. `agents/inventory_check.py` line 266

**Impact**: Bug fixes or logic changes must be made in 3 places; inconsistent PR number generation

**Risk Level**: **HIGH** ƒ?" Code duplication, maintenance burden, inconsistency

**Fix**: Extract to a shared function:
```python
async def create_pr(pr_data: dict) -> str:
    pr_number = f"PR-2026-{datetime.now().strftime('%m%d%H%M%S')}"
    adapter.create_purchase_requisition({...})
    return pr_number
```

---

### **8. ƒsÿ‹,? HIGH: RTV (Returns) Endpoint Duplication**

**Issue**: Two separate implementations:
- `routes/rtv.py`: Complete RTV workflow
- `routes/gap_features.py`: Return creation (overlapping functionality)

**Impact**: Unclear which endpoint to use; data may be created in both tables; inconsistent status tracking

**Risk Level**: **HIGH** ƒ?" Confusion, potential data duplication

**Fix**: Consolidate to single endpoint in rtv.py; remove duplicate from gap_features.py

---

### **9. ƒsÿ‹,? HIGH: All ERP Adapters Missing Create Methods (Except PostgreSQL)**

**Issue**: create_purchase_requisition(), create_purchase_order_from_pr(), create_pending_approval() are implemented ONLY in PostgreSQL adapter; calling them on OdooAdapter (when DATA_SOURCE=odoo) silently delegates to PostgreSQL

**Files**: 
